Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
6,1000,0.2,0.2,50.0,1000,2516,2013,998,49374.808594,0.020213
7,1000,0.2,0.2,50.0,1000,230,183,89,47987.191406,0.001855
8,1000,0.2,0.2,50.0,1000,2364,1907,998,51323.941406,0.019445
9,1000,0.2,0.2,50.0,1000,2548,2035,999,47853.875000,0.020876
10,1000,0.2,0.2,50.0,1000,2489,1994,999,50473.136719,0.019793
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2502,1986,999,51420.406250,0.019428
2,1000,0.2,0.2,50.0,1000,2522,1991,0,50164.484375,0.000000
3,1000,0.2,0.2,50.0,1000,135,104,54,50695.253906,0.001065
4,1000,0.2,0.2,50.0,1000,106,87,46,50977.207031,0.000902
5,1000,0.2,0.2,50.0,1000,108,85,42,49818.031250,0.000843
6,1000,0.2,0.2,50.0,1000,85,66,29,49978.386719,0.000580
7,1000,0.2,0.2,50.0,1000,87,69,36,49199.152344,0.000732
8,1000,0.2,0.2,50.0,1000,2358,1905,999,51095.945312,0.019551
9,1000,0.2,0.2,50.0,1000,86,70,34,47893.812500,0.000710
10,1000,0.2,0.2,50.0,1000,54,35,7,50529.867188,0.000139
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,40,33,14,50072.015625,0.000280
2,1000,0.2,0.2,50.0,1000,28,5,0,48824.320312,0.000000
3,1000,0.2,0.2,50.0,1000,78,59,30,51774.042969,0.000579
4,1000,0.2,0.2,50.0,1000,2439,1933,999,50473.683594,0.019792
5,1000,0.2,0.2,50.0,1000,2404,1948,999,49428.578125,0.020211
6,1000,0.2,0.2,50.0,1000,47,35,15,49681.316406,0.000302
7,1000,0.2,0.2,50.0,1000,24,15,6,49763.089844,0.000121
8,1000,0.2,0.2,50.0,1000,44,35,19,49710.410156,0.000382
9,1000,0.2,0.2,50.0,1000,2554,2052,999,47722.929688,0.020933
10,1000,0.2,0.2,50.0,1000,34,25,7,50177.742188,0.000140
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,601,489,240,51714.808594,0.004641
2,1000,0.2,0.2,50.0,1000,2558,1877,0,49947.664062,0.000000
3,1000,0.2,0.2,50.0,1000,2704,2135,999,51030.554688,0.019577
4,1000,0.2,0.2,50.0,1000,552,424,211,51241.050781,0.004118
5,1000,0.2,0.2,50.0,1000,2527,2032,999,49650.523438,0.020121
6,1000,0.2,0.2,50.0,1000,2514,2022,999,48737.648438,0.020498
7,1000,0.2,0.2,50.0,1000,426,323,158,49684.261719,0.003180
8,1000,0.2,0.2,50.0,1000,2546,2025,998,50948.480469,0.019588
9,1000,0.2,0.2,50.0,1000,466,362,182,49590.101562,0.003670
10,1000,0.2,0.2,50.0,1000,449,359,178,50735.898438,0.003508
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3193,2553,999,49166.933594,0.020319
2,1000,0.2,0.2,50.0,1000,2744,1405,0,49090.335938,0.000000
3,1000,0.2,0.2,50.0,1000,3229,2528,999,49958.562500,0.019997
4,1000,0.2,0.2,50.0,1000,3321,2628,996,51825.320312,0.019218
5,1000,0.2,0.2,50.0,1000,3256,2579,999,49750.117188,0.020080
6,1000,0.2,0.2,50.0,1000,3337,2661,999,51001.792969,0.019588
7,1000,0.2,0.2,50.0,1000,3262,2588,999,48489.957031,0.020602
8,1000,0.2,0.2,50.0,1000,3278,2596,998,51060.808594,0.019545
9,1000,0.2,0.2,50.0,1000,3262,2533,997,49920.171875,0.019972
10,1000,0.2,0.2,50.0,1000,3285,2581,993,49032.480469,0.020252
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,1702,842,353,49303.332031,0.007160
2,1000,0.4,0.2,50.0,1000,1187,157,0,49439.406250,0.000000
3,1000,0.4,0.2,50.0,1000,1767,904,408,50004.621094,0.008159
4,1000,0.4,0.2,50.0,1000,1761,225,0,50885.117188,0.000000
5,1000,0.4,0.2,50.0,1000,1507,654,274,50184.082031,0.005460
6,1000,0.4,0.2,50.0,1000,1866,980,437,50655.777344,0.008627
7,1000,0.4,0.2,50.0,1000,1614,736,311,49467.511719,0.006287
8,1000,0.4,0.2,50.0,1000,1791,944,400,49356.683594,0.008104
9,1000,0.4,0.2,50.0,1000,1320,535,178,49756.058594,0.003577
10,1000,0.4,0.2,50.0,1000,1664,776,328,50424.804688,0.006505
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,143,66,22,50899.480469,0.000432
2,1000,0.4,0.2,50.0,1000,126,17,0,48972.476562,0.000000
3,1000,0.4,0.2,50.0,1000,162,100,50,49952.398438,0.001001
4,1000,0.4,0.2,50.0,1000,148,15,0,50920.796875,0.000000
5,1000,0.4,0.2,50.0,1000,125,55,18,49845.371094,0.000361
6,1000,0.4,0.2,50.0,1000,156,63,26,49792.308594,0.000522
7,1000,0.4,0.2,50.0,1000,145,61,21,48171.945312,0.000436
8,1000,0.4,0.2,50.0,1000,199,120,52,50744.355469,0.001025
9,1000,0.4,0.2,50.0,1000,129,65,18,48101.582031,0.000374
10,1000,0.4,0.2,50.0,1000,145,78,31,50403.003906,0.000615
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,295,234,117,51760.789062,0.002260
2,1000,0.2,0.2,50.0,1000,2518,1927,0,49851.203125,0.000000
